city08,comb08,cylinders,displ,fuelType,highway08,make,model,trany,VClass,year
city MPG,combined MPG,engine cylinders,engine displacement in liters,fuel type,highway MPG,manufacturer,model name,transmission descriptor,EPA vehicle size class,model year
14,16,6,3.7,Regular,19,Jeep,Commander 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
21,22,4,2.4,Regular,24,Jeep,Compass 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
22,24,4,2.4,Regular,27,Jeep,Compass 4WD,Manual 5-spd,Sport Utility Vehicle - 4WD,2008
15,17,6,3.7,Regular,19,Jeep,Grand Cherokee 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
21,22,4,2.4,Regular,24,Jeep,Patriot 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
20,21,4,2.4,Regular,22,Jeep,Patriot 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
22,24,4,2.4,Regular,27,Jeep,Patriot 4WD,Manual 5-spd,Sport Utility Vehicle - 4WD,2008
15,17,6,3.3,Regular,22,Kia,Sorento 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
15,17,6,3.8,Regular,20,Kia,Sorento 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
19,21,4,2,Regular,24,Kia,Sportage 4WD,Manual 5-spd,Sport Utility Vehicle - 4WD,2008
17,19,6,2.7,Regular,21,Kia,Sportage 4WD,Automatic 4-spd,Sport Utility Vehicle - 4WD,2008
14,15,8,4.7,Premium,18,Lexus,GX 470,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
12,14,8,5.7,Premium,18,Lexus,LX 570,Automatic (S6),Sport Utility Vehicle - 4WD,2008
26,25,6,3.3,Premium,24,Lexus,RX 400h 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
15,18,6,3.5,Regular,22,Lincoln,MKX AWD,Automatic 6-spd,Sport Utility Vehicle - 4WD,2008
12,13,8,5,Premium,15,Mercedes-Benz,G500,Automatic 7-spd,Sport Utility Vehicle - 4WD,2008
11,12,8,5.4,Premium,13,Mercedes-Benz,G55 AMG,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
13,14,8,5.5,Premium,17,Mercedes-Benz,GL550 4matic,Automatic 7-spd,Sport Utility Vehicle - 4WD,2008
15,17,6,3.8,Premium,19,Mitsubishi,Endeavor AWD,Automatic (S4),Sport Utility Vehicle - 4WD,2008
17,20,6,3,Regular,24,Mitsubishi,Outlander 4WD,Automatic (S6),Sport Utility Vehicle - 4WD,2008
21,23,4,2.5,Regular,26,Nissan,Rogue AWD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
14,16,6,4,Regular,20,Nissan,Xterra 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
16,17,6,4,Regular,20,Nissan,Xterra 4WD,Manual 6-spd,Sport Utility Vehicle - 4WD,2008
14,15,8,4.7,Regular,17,Toyota,4Runner 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
27,26,6,3.3,Regular,25,Toyota,Highlander Hybrid 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
13,15,8,5.7,Regular,18,Toyota,Land Cruiser Wagon 4WD,Automatic (S6),Sport Utility Vehicle - 4WD,2008
20,22,4,2.4,Regular,25,Toyota,RAV4 4WD,Automatic 4-spd,Sport Utility Vehicle - 4WD,2008
19,21,6,3.5,Regular,26,Toyota,RAV4 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
13,14,8,4.7,Regular,16,Toyota,Sequoia 4WD,Automatic (S5),Sport Utility Vehicle - 4WD,2008
13,15,8,5.7,Regular,18,Toyota,Sequoia 4WD,Automatic (S6),Sport Utility Vehicle - 4WD,2008
15,18,8,4.6,Gasoline or E85,23,Lincoln,Town Car,Automatic 4-spd,Large Cars,2008
